ProcedureURN,ProcedureID,Active,Procedures,Description
1,06BG0ZX	,1,BIOPSY OF LT EXTERNAL ILIAC VEIN; OPEN;DIAGNOSTIC,
2,03L23ZZ	,1,BRACHIOCEPHALIC FISTULA LIGATION,
3,0HB5XZX	,1,CHEST SKIN BIOPSY;EXTERNAL APPROACH; DIAGNOSTIC	,NULL
4,0TCB0ZZ	,1,EXTIR OF SOLID MATERIALFROMBLADDER(CYSTOLITHOTOMY,NULL
5,0WJG0ZZ	,1,LAPAROTOMY,NULL
6,0HBNXZX	,1,LEFT FOOT SKIN BIOPSY; DIAGNOSTIC	,NULL
7,0TB70ZX	,1,LEFT URETER BIOPSY ; OPEN ; DIAGNOSTIC	,NULL
8,09BK4ZZ	,1,NASAL-POLYPECTOMY+FESS,
9,0TP940Z	,1,PERCUTANEOUS DJ REMOVAL	,NULL
10,3E1M39Z	,1,PERITONEAL DIALYSIS,NULL
11,0GT30ZZ,1,RIGHT ADRENALECTOMY,NULL
12,0B110F4	,1,TRACHEOSTOMY 	,NULL
18,10A07Z6	,1,ABORTION OF PRODUCTS OF CONCEPTION; VACUUM; VIA NATURAL OR ARTIFICIAL OPENING	,NULL
19,10A07ZZ	,1,ABORTION OF PRODUCTS OF CONCEPTION; VIA NATURAL OR ARTIFICIAL OPENING	,
675,0Y6R0Z0	,1,AMPUTATION OF RIGHT 2ND TOE; COMPLETE	,NULL
676,0Y6T0Z0	,1,AMPUTATION OF RIGHT 3RD TOE; COMPLETE	,NULL
677,0Y6P0Z0	,1,AMPUTATION OF RIGHT BIG TOE	 	,NULL
678,0D1A0ZB	,1,ANASTOMOSIS JEJUNUM TO ILEUM; OPEN APPROACH	,NULL
679,05HM3DZ	,1,ANGIOACCESS; INTERNAL JUGULAR RIGHT VEIN,NULL
680,05H53DZ	,1,ANGIOACCESS; SUBCLAVIAN RIGHT VEIN,NULL
681,06HN3DZ	,1,ANGIOACCESS; FEMORAL LINE LEFT VEIN,NULL
682,06HM3DZ	,1,ANGIOACCESS; FEMORAL LINE RIGHT VEIN,NULL
683,05HN3DZ	,1,ANGIOACCESS; INTERNAL JUGULAR LEFT VEIN,NULL
684,05H63DZ	,1,ANGIOACCESS; SUBCLAVIAN LEFT VEIN,NULL
687,0T764DZ	,1,ANTIGARDE DJ PLACEMENT,NULL
698,0DTJ4ZZ	,1,APPENDECTOMY (PERCUTANEOUS ENDOSCOPIC),NULL
699,0DTJ0ZZ	,1,APPENDECTOMY ; OPEN,NULL
711,0D9680Z	,1,ASCITIC TAP (PARACENTESIS),NULL
712,079T3ZX	,1,ASPIRATION OF BONE MARROW / LUMBER PUNCTURE,NULL
713,0F9G40Z	,1,ASPIRATION OF PSEUDOCYCT OF PANCREAS,NULL
714,5A02210	,1,ASSISTANCE WITH CARDIAC OUTPUT USING BALLOON PUMP; CONTINUOUS	,NULL
715,5A02110	,1,ASSISTANCE WITH CARDIAC OUTPUT USING BALLOON PUMP; INTERMITTENT	,NULL
718,5A02216	,1,ASSISTANCE WITH CARDIAC OUTPUT USING OTHER PUMP; CONTINUOUS	,NULL
722,5A0945Z	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; 24-96 CONSECUTIVE HOURS	,NULL
724,5A09457	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; 24-96 CONSECUTIVE HOURS; CONTINUOUS POSITIVE AIRWAY PRESSURE	,NULL
727,5A0955Z	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; GREATER THAN 96 CONSECUTIVE HOURS	,NULL
729,5A09557	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; GREATER THAN 96 CONSECUTIVE HOURS; CONTINUOUS POSITIVE AIRWAY PRESSURE	,NULL
731,5A09558	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; GREATER THAN 96 CONSECUTIVE HOURS; INTERMITTENT POSITIVE AIRWAY PRESSURE	,NULL
732,5A0935Z	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; LESS THAN 24 CONSECUTIVE HOURS	,NULL
733,5A09359	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; LESS THAN 24 CONSECUTIVE HOURS; CONTINUOUS NEGATIVE AIRWAY PRESSURE	,NULL
734,5A09357	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; LESS THAN 24 CONSECUTIVE HOURS; CONTINUOUS POSITIVE AIRWAY PRESSURE	,NULL
736,5A09358	,1,ASSISTANCE WITH RESPIRATORY VENTILATION; LESS THAN 24 CONSECUTIVE HOURS; INTERMITTENT POSITIVE AIRWAY PRESSURE	,NULL
767,0TUB07Z	,1,AUGMENTATION CYSTOPLASTY/MONTI PROCEDURE,NULL
791,0BBM0ZX	,1,"B/L LUNG BIOPSY,OPEN APPROACH	",NULL
823,DW032ZZ	,1,BEAM RADIATION OF ABDOMEN USING PHOTONS >10 MEV	,NULL
824,DW031ZZ	,1,BEAM RADIATION OF ABDOMEN USING PHOTONS 1 - 10 MEV	,NULL
832,DH043ZZ	,1,BEAM RADIATION OF ARM SKIN USING ELECTRONS	,NULL
839,DH041ZZ	,1,BEAM RADIATION OF ARM SKIN USING PHOTONS 1 - 10 MEV	,NULL
846,D7042ZZ	,1,BEAM RADIATION OF AXILLARY LYMPHATICS USING PHOTONS >10 MEV	,NULL
864,DT023ZZ	,1,BEAM RADIATION OF BLADDER USING ELECTRONS	,NULL
865,DT023Z0	,1,BEAM RADIATION OF BLADDER USING ELECTRONS; INTRAOPERATIVE	,NULL
866,DT024ZZ	,1,BEAM RADIATION OF BLADDER USING HEAVY PARTICLES (PROTONS;IONS)	,NULL
867,DT026ZZ	,1,BEAM RADIATION OF BLADDER USING NEUTRON CAPTURE	,NULL
868,DT025ZZ	,1,BEAM RADIATION OF BLADDER USING NEUTRONS	,NULL
869,DT020ZZ	,1,BEAM RADIATION OF BLADDER USING PHOTONS <1 MEV	,NULL
870,DT022ZZ	,1,BEAM RADIATION OF BLADDER USING PHOTONS >10 MEV	,NULL
871,DT021ZZ	,1,BEAM RADIATION OF BLADDER USING PHOTONS 1 - 10 MEV	,NULL
894,D0002ZZ	,1,BEAM RADIATION OF BRAIN USING PHOTONS >10 MEV	,NULL
895,D0001ZZ	,1,BEAM RADIATION OF BRAIN USING PHOTONS 1 - 10 MEV	,NULL
918,DU012ZZ	,1,BEAM RADIATION OF CERVIX USING PHOTONS >10 MEV	,NULL
919,DU011ZZ	,1,BEAM RADIATION OF CERVIX USING PHOTONS 1 - 10 MEV	,NULL
926,DH062ZZ	,1,BEAM RADIATION OF CHEST SKIN USING PHOTONS >10 MEV	,NULL
934,DW022ZZ	,1,BEAM RADIATION OF CHEST USING PHOTONS >10 MEV	,NULL
935,DW021ZZ	,1,BEAM RADIATION OF CHEST USING PHOTONS 1 - 10 MEV	,NULL
